Crop,State,Season,Cost of Cultivation,Cost of Production,Yield
ARHAR,Uttar Pradesh,KHARIF,23076.74,1941.55,9.83
ARHAR,Karnataka,KHARIF,16528.68,2172.46,7.47
ARHAR,Gujarat,KHARIF,19551.9,1898.3,9.59
ARHAR,Andhra Pradesh,KHARIF,24171.65,3670.54,6.42
ARHAR,Maharashtra,KHARIF,25270.26,2775.8,8.72
COTTON,Maharashtra,KHARIF,33116.82,2539.47,12.69
COTTON,Punjab,KHARIF,50828.83,2003.76,24.39
COTTON,Andhra Pradesh,KHARIF,44756.72,2509.99,17.83
COTTON,Gujarat,KHARIF,42070.44,2179.26,19.05
COTTON,Haryana,KHARIF,44018.18,2127.35,19.9
GRAM,Rajasthan,RABI,12610.85,1691.66,6.83
GRAM,Madhya Pradesh,RABI,16873.17,1551.94,10.29
GRAM,Uttar Pradesh,RABI,21618.43,1882.68,10.93
GRAM,Maharashtra,RABI,18679.33,2277.68,8.05
GRAM,Andhra Pradesh,RABI,26762.09,1559.04,16.69
GROUNDNUT,Karnataka,WHOLE YEAR,17314.2,3484.01,4.71
GROUNDNUT,Andhra Pradesh,WHOLE YEAR,30434.61,2554.91,11.97
GROUNDNUT,Tamil Nadu,WHOLE YEAR,30393.66,2358,11.98
GROUNDNUT,Gujarat,WHOLE YEAR,30114.45,1918.92,13.45
GROUNDNUT,Maharashtra,WHOLE YEAR,32683.46,3207.35,9.33
MAIZE,Bihar,KHARIF,19857.7,404.43,42.95
MAIZE,Karnataka,KHARIF,20671.54,581.69,31.1
MAIZE,Rajasthan,KHARIF,19810.29,658.77,23.56
MAIZE,Uttar Pradesh,KHARIF,21045.11,1387.36,13.7
MAIZE,Andhra Pradesh,KHARIF,37801.85,840.58,42.68
MOONG,Orissa,KHARIF,8266.98,2614.14,3.01
MOONG,Rajasthan,KHARIF,9165.59,2068.67,4.05
MOONG,Karnataka,KHARIF,7868.64,5777.48,1.32
MOONG,Andhra Pradesh,KHARIF,13209.32,2228.97,5.9
MOONG,Maharashtra,KHARIF,15371.45,2261.24,6.7
PADDY,Uttar Pradesh,KHARIF,28144.5,732.62,36.61
PADDY,Orissa,KHARIF,25909.05,715.04,32.42
PADDY,West Bengal,KHARIF,33046.12,731.25,39.04
PADDY,Punjab,KHARIF,45291.24,669.86,67.41
PADDY,Andhra Pradesh,KHARIF,46450.2,789.9,56
RAPESEED AND MUSTARD,Madhya Pradesh,RABI,17705.93,1279.6,12.94
RAPESEED AND MUSTARD,Rajasthan,RABI,19259.84,1341.29,13.54
RAPESEED AND MUSTARD,Uttar Pradesh,RABI,22560.3,1595.56,13.57
RAPESEED AND MUSTARD,Gujarat,RABI,19083.55,1610.4,11.61
RAPESEED AND MUSTARD,Haryana,RABI,27507.54,1251.12,19.94
SUGARCANE,Uttar Pradesh,KHARIF,45239.51,93.64,448.89
SUGARCANE,Karnataka,KHARIF,86765.77,86.53,986.21
SUGARCANE,Andhra Pradesh,KHARIF,91442.63,119.72,757.92
SUGARCANE,Maharashtra,KHARIF,85801.95,107.56,744.01
SUGARCANE,Tamil Nadu,KHARIF,89025.27,85.79,1015.45
WHEAT,Madhya Pradesh,RABI,22489.75,810.25,23.59
WHEAT,Punjab,RABI,35423.48,804.8,39.83
WHEAT,Uttar Pradesh,RABI,31902.74,769.84,34.99
WHEAT,Rajasthan,RABI,29876.36,683.58,37.19
RICE,West Bengal,KHARIF,5911.89,2439.15,16.15
RICE,Uttar Pradesh,KHARIF,34310.034,33640.6,45.8
RICE,Punjab,KHARIF,53100.82,35910.77,2.9
RICE,Odisha,KHARIF,200012.17,2418.03,268.15
BARLEY,Rajasthan,RABI,25004.9,812,225.9
BARLEY,Himachal Pradesh,RABI,21893.01,36,20.4
BARLEY,Uttar Pradesh,RABI,22338,455.4,151
TEA,Assam,KHARIF,21913.24,6.29,5023.01
TEA,West Bengal,KHARIF,31892.75,6.27,4651.11
TEA,Tamil Nadu,KHARIF,17465.5,5.33,3917.07
TEA,Kerala,KHARIF,18640.36,6.31,4392
COFFEE,Karnataka,RABI,1100000,80000,8.1
COFFEE,Kerala,RABI,45000,14470.09,20.8
COFFEE,Tamil Nadu,RABI,25023.67,65000,6.4
TURMERIC,Tamil Nadu,RABI,45000,4000,12
TURMERIC,Maharashtra,RABI,309138.55,94.27,38.01
TURMERIC,Odisha,RABI,8000.9,18.1,58.5
TURMERIC,Gujarat,RABI,204737,283399.8,19.71
ONION,Punjab,KHARIF,49563.7,13.52,3
ONION,Uttar Pradesh,KHARIF,34840,497.18,2.4
ONION,Bihar,KHARIF,50780.05,385.3,3.1
POTATO,Uttar Pradesh,RABI,30000,60.7,30
POTATO,West Bengal,RABI,60753,100000,241.5
POTATO,Punjab,RABI,100000,157302,617.5
RUBBER,Kerala,RABI,37500,0.23,354
RUBBER,Meghalaya,RABI,14000,,16.3
RUBBER,Assam,RABI,450000,13000,17.96
JUTE,West Bengal,RABI,99319.52,104.83,78.6
JUTE,Assam,RABI,61467.14,861.46,73.38
JUTE,Bihar,RABI,2740.25,1280.02,15.71
JOWAR,Maharashtra,KHARIF,15294.21,22.83,50.8
JOWAR,Karnataka,KHARIF,3350.01,31.58,4.2
JOWAR,Andhra Pradesh,KHARIF,2500.09,23.82,1.4
JOWAR,Rajasthan,KHARIF,2200,263.65,1.8
